id_ubicacion,aforo,direccion,ciudad_pueblo,precio_alquiler,caracteristicas
1,66,"5496 Black Mount Suite 900
Port Kevin, VT 33060",New Sherylland,1147.23,Able whole guess worker must treatment.
2,51,"599 Barbara Underpass
Fitzpatrickborough, MI 94106",Davisport,765.12,Degree feeling house federal see now near.
3,138,"1058 Barry Ville
Sarahbury, KY 40674",Pittmanborough,1363.24,Daughter available idea lose allow.
4,253,"Unit 9882 Box 5149
DPO AP 50763",Port Jessicaside,761.66,Cost fear human. Factor toward than soldier.
5,346,"08531 Bailey Heights
Port Shelly, SC 92912",Madisonville,1089.12,Pattern Democrat hot heavy past.
6,356,"486 Javier Views
East Phillipmouth, FL 04679",Phillipsfurt,462.37,Cause forget put last strategy project.
7,370,"2576 Floyd Shore Suite 420
Cervantestown, MN 56927",Makaylaburgh,1791.23,Strong rest decide political arm including.
8,102,"USNV Smith
FPO AA 23241",South Angelafurt,204.26,Yard answer just born too century.
9,135,"549 Williams Plain
Port Mary, PA 91696",North Christopherville,774.4,Part before green lose.
10,245,"341 Cantrell Course Suite 911
East Rachelberg, ND 12473",West Rebecca,568.14,Town bill loss.
11,188,"8570 Lucas Cape
Butlershire, WV 98056",Williamschester,698.88,Teacher little parent quickly coach lot.
12,468,"908 Leslie Points Apt. 817
New Michaelport, MS 13698",Brucemouth,1306.2,Able suffer leg quality call though.
13,391,"153 Edwards Streets
Nelsonstad, TN 72525",West Susan,1548.7,Buy only cultural so factor his.
14,363,"09474 Peggy Pines Suite 435
West Brandy, MS 28284",Lunabury,822.63,Performance growth main mouth.
15,332,"1828 Mcfarland Islands Suite 030
New Johnburgh, IN 04231",Lunaside,763.09,Edge use building local.
16,474,"7271 Michael Cliffs
East Justinfurt, IL 50360",North Mia,1952.14,Prove quite minute PM.
17,313,"693 Miranda Skyway Apt. 029
Ashleymouth, MT 10170",Markville,766.83,Culture picture number win still professional.
18,409,"90749 David Lake Apt. 903
Lake Janetside, DE 55149",South Marcus,770.86,Happy happen source president red bag.
19,463,"4329 Andrew Tunnel Apt. 418
Port Robert, LA 92162",Williamsshire,1761.72,Trouble campaign discussion within when energy.
20,62,"275 Christopher Ranch
Wyattshire, OK 39409",Wilsonton,392.26,School land explain step top.
